Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/Saturn/Manuals/!!System Manual (Sega Saturn).pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2F%21%21System%20Manual%20%28Sega%20Saturn%29.pdf,2141023,854bb99498d6ff7c01416bf554ce313d,,,!!System Manual (Sega Saturn).pdf
docs/Saturn/Manuals/!Backup Memory (Sega Saturn).pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2F%21Backup%20Memory%20%28Sega%20Saturn%29.pdf,749143,2c4727fd5c67fd6efa58d5a1ff1f269b,,,!Backup Memory (Sega Saturn).pdf
docs/Saturn/Manuals/![Insert] Mechwarrior 2 - 31st Century Combat.pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2F%21%5BInsert%5D%20Mechwarrior%202%20-%2031st%20Century%20Combat.pdf,469120,f4d57744e29fbdd209319b8ceea93e63,,,![Insert] Mechwarrior 2 - 31st Century Combat.pdf
docs/Saturn/Manuals/![Map] Lunacy.pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2F%21%5BMap%5D%20Lunacy.pdf,204867,c96298d6f9cb695aaf0831ed7ab323ac,,,![Map] Lunacy.pdf
docs/Saturn/Manuals/3D Baseball.pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2F3D%20Baseball.pdf,2408883,c89fc172a7051b961c89c0b5937e9dd3,,,3D Baseball.pdf
docs/Saturn/Manuals/AMOK.pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2FAMOK.pdf,2295841,6840c09d0dd07028948056e2b00e6cfa,,,AMOK.pdf
docs/Saturn/Manuals/Albert Odyssey - Legend of Eldean.pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2FAlbert%20Odyssey%20-%20Legend%20of%20Eldean.pdf,3946283,d98a4789fe5afa36f8a4a0d1b546737d,,,Albert Odyssey - Legend of Eldean.pdf
docs/Saturn/Manuals/Alien Trilogy.pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2FAlien%20Trilogy.pdf,2243779,3d5de5b8fcf75260f45d92af0133dc10,,,Alien Trilogy.pdf
docs/Saturn/Manuals/All-Star Baseball '97 featuring Frank Thomas.pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2FAll-Star%20Baseball%20%2797%20featuring%20Frank%20Thomas.pdf,2791615,08d5dd22784a859984ff49848b8ecc3d,,,All-Star Baseball '97 featuring Frank Thomas.pdf
docs/Saturn/Manuals/Alone in the Dark - One-Eyed Jack's Revenge.pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2FAlone%20in%20the%20Dark%20-%20One-Eyed%20Jack%27s%20Revenge.pdf,2021391,e69ae63dfc0ec512c878af17615b3870,,,Alone in the Dark - One-Eyed Jack's Revenge.pdf
docs/Saturn/Manuals/Andretti Racing.pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2FAndretti%20Racing.pdf,2038108,3863e516671bf40e58a4639d4aa09640,,,Andretti Racing.pdf
docs/Saturn/Manuals/Arcade's Greatest Hits - The Atari Collection 1.pdf,https://archive.org/download/mister-manuals/1995_Sega%20Saturn.zip/1995_Sega%20Saturn%2FArcade%27s%20Greatest%20Hits%20-%20The%20Atari%20Collection%201.pdf,1678672,b3aac3c28d5fedbc0232a5be0fc37065,,,Arcade's Greatest Hits - The Atari Collection 1.pdf
